Edward_III_of_England
"Edmund_of_Langley,_1st_Duke_of_York"
#cite_note-first-3
"Edward,_the_Black_Prince"
#cite_note-tourth-4
"Lionel_of_Antwerp,_1st_Duke_of_Clarence"
#cite_note-second-5
"John_of_Gaunt,_1st_Duke_of_Lancaster"
#cite_note-third-6
Richard_II_of_England
"Philippa,_5th_Countess_of_Ulster"
"Roger_Mortimer,_4th_Earl_of_March"
Elizabeth_Mortimer
"Joan_Beaufort,_Countess_of_Westmorland"
Henry_IV_of_England
"John_Beaufort,_1st_Earl_of_Somerset"
"Richard_of_Conisburgh,_3rd_Earl_of_Cambridge"
Anne_de_Mortimer
"Henry_Percy,_2nd_Earl_of_Northumberland"
"Eleanor_Percy,_Countess_of_Northumberland"
"Richard_Neville,_5th_Earl_of_Salisbury"
"William_Neville,_1st_Earl_of_Kent"
Henry_V_of_England
Catherine_of_Valois
Owen_Tudor
"John_Beaufort,_1st_Duke_of_Somerset"
"Edmund_Beaufort,_2nd_Duke_of_Somerset"
"Richard_of_York,_3rd_Duke_of_York"
"Cecily_Neville,_Duchess_of_York"
"Henry_Percy,_3rd_Earl_of_Northumberland"
"Richard_Neville,_16th_Earl_of_Warwick"
"John_Neville,_1st_Marquess_of_Montagu"
Thomas_Neville_(died_1471)
Margaret_of_Anjou
Henry_VI_of_England
"Edmund_Tudor,_1st_Earl_of_Richmond"
"Margaret_Beaufort,_Countess_of_Richmond_and_Derby"
"Henry_Beaufort,_3rd_Duke_of_Somerset"
"Edmund_Beaufort,_4th_Duke_of_Somerset"
Edward_IV_of_England
"George_Plantagenet,_1st_Duke_of_Clarence"
"Isabel_Neville,_Duchess_of_Clarence"
Richard_III_of_England
Anne_Neville
"Edward_of_Westminster,_Prince_of_Wales"
Edward_V_of_England
Elizabeth_of_York
Henry_VII_of_England
Philip_II_of_Spain
