,name,occupation_x,rhodes_scholar,schools,degrees,full_name,DOB,occupation_y,spouses,offspring
0,William Miller Macmillan,,1903.0,,,,1885-10-01 00:00:00,Historian,,
1,John Behan,educationist,1904.0,,,,,,,
2,Carl Brinkmann,,1904.0,,,,,,,
3,Lawrence H. Gipson,,1904.0,,,,,,,
4,Robert L. Henry Jr.,,1904.0,,,,,,,
5,Stanley Hornbeck,,1904.0,"University of Denver,Christ Church, Oxford,University of Wisconsin","BA,PhD",,1883-05-04 00:00:00,,Vivienne Barkalow,
6,Worthington Hoskin,,1904.0,,,,,,,
7,Norman Jolly,,1904.0,,,,,,,
8,H. G. Merriam,,1904.0,,,,,,,
9,David Richard Porter,,1904.0,,,,,,,
10,"Ellis Robins, 1st Baron Robins",,1904.0,,,,,,,
11,Arthur Stanley Roe,,1904.0,,,,,,,
12,H. J. Rose,,1904.0,,,,,,,
13,John C. Sherburne,,1904.0,,,,,,,
14,Allan Thomson,geologist,1904.0,,,James Allan Thomson,1881-07-27 00:00:00,,,
15,John J. Tigert,,1904.0,,,,,,,
16,Frank Aydelotte,,1905.0,"Indiana University,Harvard University,Oxford University",,,1880-10-16 00:00:00,,,
17,Beverley Dandridge Tucker Jr.,,1905.0,"University of Virginia,Oxford University,Virginia Theological Seminary",,,1882-02-04 00:00:00,,,5
18,Frank Parker Day,,1905.0,"Mount Allison University,Oxford University",,Frank Parker Day,1881-05-09 00:00:00,"Writer, soldier, naturalist",,Donald Day
19,Arthur Motyer,,1905.0,,,,,,,
20,Talbot Mercer Papineau,,1905.0,,,,1883-03-25 00:00:00,,,
21,Philip Robertson,chemist,1905.0,,,,,,,
22,"Roy Robinson, 1st Baron Robinson",,1905.0,,,,,,,
23,Percival Halse Rogers,,1905.0,Newington College,"St Andrew's College, University of Sydney",,1883-08-01 00:00:00,NSW Supreme Court Judge,Mabel Mary (née Trevor Jones),Judith Cecilie Halse Rogers (1914-1970) and Lorraine Halse Rogers (1918-2007)
24,William John Rose,,1905.0,,,,,,,
25,John Nevin Schaeffer,,1905.0,,,,,,,
26,Bernadotte Everly Schmitt,,1905.0,"University of Tennessee,Merton College, Oxford,University of Wisconsin–Madison",B.A.,,1886-05-19 00:00:00,,,
27,Lutz Graf Schwerin von Krosigk,,1905.0,"University of Halle,University of Lausanne,Oriel College, Oxford",,Johann Ludwig von Krosigk,1887-08-22 00:00:00,"Officer, jurist, politician",,9
28,Harvey Sutton,,1905.0,,,,,,,
29,Robert Preston Brooks,,1906.0,,,,,,,
30,Arnold Seitz,,1906.0,,,,,,,
31,Ernst Stadler,,1906.0,,,,,,,
32,Warren Ault,,1907.0,,,,,,,
33,Marius Barbeau,,1907.0,,,,,,,
34,Albert van der Sandt Centlivres,,1907.0,,,,,,,
35,Joseph Gilbert,politician,1907.0,,,,,,,
36,Colin Gilray,,1907.0,"Otago Boys' High School,University of Otago,University of Oxford",,Colin Macdonald Gilray,1885-03-17 00:00:00,,Ethel Muriel Standish,
37,Reginald Hands,,1907.0,,,,,,,
38,Clarence H. Haring,,1907.0,,,,,,,
39,Charles A. Keith,,1907.0,,,,,,,
40,Alain LeRoy Locke,,1907.0,"Central High School (Philadelphia),Harvard University,Hertford College, Oxford,Humboldt University of Berlin",,,1885-09-13 00:00:00,"Writer, philosopher, educator, and patron of the arts",,
41,Neal Macrossan,,1907.0,,,Neal Macrossan,1889-04-27 00:00:00,"Barrister,Judge,Chief Justice",,
42,William Ray,medicine,1907.0,,,,,,,
43,Albrecht von Blumenthal,,1907.0,,,,,,,
44,Bob Blake,American football,1908.0,,,,,,,
45,Rhys Carpenter,,1908.0,,,,,,,
46,Charles Wendell David,,1908.0,,,,,,,
47,Kingsley Fairbridge,,1908.0,,,,,,,
48,Philip Hands,,1908.0,,,,,,,
49,Frank E. Holman,,1908.0,,,,,,,
50,Philip Le Couteur,,1908.0,"Queen's College, University of Melbourne,University College, Oxford",,,1885-06-26 00:00:00,Headmaster,Edward Sugden (methodist),"George Le Couteur,Order of the British Empire"
51,Roy Leitch,,1908.0,,,,,,,
52,Lennox Broster,,1909.0,,,,,,,
53,Thomas Davy,politician,1909.0,,,,,,,
54,Henry Fry,anthropologist,1909.0,,,,,,,
55,John Gilbert Higgins,,1909.0,,,,1891-05-07 00:00:00,,,
56,Charles Littlejohn,,1909.0,,,,,,,
57,Gerrie Maritz,,1909.0,"Victoria College,Trinity College, Oxford",,Gerhardus Jacobus Maritz,1889-12-07 00:00:00,,,
58,Stephen Steyn,,1909.0,,,,,,,
59,Elmer Davis,,1910.0,,,,,,,
60,Albert R. Ellingwood,,1910.0,,,,,,,
61,Robert Hale,Maine politician,1910.0,,,,1889-11-29 00:00:00,,,
