schools,degrees,name,full_name,born,died,spouses,parents,sibling,offspring,second_cousin,cousin,occupation,employer,positions
,,A.W. Dirlam,,1913-10-20,"June 3, 1995",Married,,,2,,,,,"45th Speaker of the Minnesota House of Representatives,Minnesota House Majority Leader,Minnesota House Minority Leader,Member of the Minnesota House of Representativesfrom the 14, 17, 17A, 21B district"
"University of Madras,University of Southern California",,A. V. Balakrishnan,,"December 4, 1922","March 17, 2015",,,,,,,,,
Ceylon Law College,,A. Amirthalingam,,1927-08-26,13 July 1989,,,,,,,,,"7th Leader of the Opposition,Leader of the Tamil United Liberation Front,Member of the Ceylonese Parliamentfor Vaddukoddai,Member of Parliamentfor Kankesanthurai,Member of Parliamentfor National List"
"University of South Carolina,B.S.,University of Alabama,M.S.,Johns Hopkins University,MScM","Johns Hopkins University,University of Alabama",A. T. Smith,,", ",,Catherine Smith,,,Thomas Winfield Smith,,,,,"Deputy Director of the U.S. Secret Service, (Ret.)"
,,A. B. Dilworth,,"December 14, 1814","July 2, 1894",,,,,,,,,"Member of the Mississippi House of Representativesfrom the Tishomingo County district,13th Secretary of State of Mississippi,State Auditor of Mississippi"
,,A. A. Gill,,1954-06-28,10 December 2016,,,,4,,,"Columnist, author",,
Yale University,,A. Bartlett Giamatti,Angelo Bartlett Giamatti,1938-04-04,"September 1, 1989",Toni Marilyn Smith,,,"Paul Giamatti,Marcus Giamatti",,,"Yale University,National League,MLB",,"7th Commissioner of Baseball,14th President of the National League,19th President of Yale University"
,,A. B. Swindell,Albin Blount Swindell IV,1945-10-14,,,,,,,,"teacher, politician, consultant",,Member of the North Carolina Senate
"Regis University,Columbus School of Law,Yale Law School","A.B.,J.S.D.,LL.B.",A. Andrew Hauk,Aloysius Andrew Hauk,1912-12-29,"November 9, 2004",,,,,,,,,"Senior Judge of the United States District Court for the Central District of California,Chief Judge of the United States District Court for the Central District of California,Judge of the United States District Court for the Central District of California,Judge of the United States District Court for the Southern District of California"
"St. Joseph's College, Tiruchirappalli,Madras Institute of Technology","MEng,BEng",A. P. J. Abdul Kalam,Avul Pakir Jainulabdeen Abdul Kalam,1931-10-15,27 July 2015,,,,,,,,,"11th President of India,1st Principal Scientific Adviser to the Government of India"
,,Addison Crandall,,"July 9, 1825","December 29, 1886",,,,,,,,,2nd Governor of Oregon
,,A. C. Bearss,,,,,,,,,,,,Member of the Nevada  Assemblyfrom the Nye County district
,,"A. Carville Foster, Jr.",,1932-10-21,,,,,,,,,,Member of the Pennsylvania House of Representativesfrom the 93rd district
,,Abel Carter Wilder,,1828-03-18,"December 22, 1875",,,,,,,,,Member of the U.S. House of Representativesfrom Kansas's at-large district
,,Dr. Anderson Doniphan Rice,,1818-02-02,"October 10, 1869","Ann Frances Russell, Mrs. Zesiah Beeler Dillon",,,"Hudson Doniphan Rice, Sally Vienna Rice, Harriet Ellen Rice",,,Physician,,"4th Mayor of Dallas,Military service"
