,name,full_name,born,died
2,Álida España,Álida España,12 April 1924,8 April 1993 (aged 68)
5,Árpád Göncz,,1922-02-10 00:00:00,6 October 2015
12,Willem 's Gravesande,,26 September 1688,28 February 1742
14,Åshild Hauan,,1941-04-20 00:00:00,1 December 2017
17,Édouard Alphonse James de Rothschild,,1868-02-24 00:00:00,30 June 1949
19,Ève Curie,,1904-12-06 00:00:00,"October 22, 2007"
23,Édouard Henri Jean Bonnefous,,1907-08-24 00:00:00,24 February 2007
24,Édouard Daladier,,1884-06-18 00:00:00,10 October 1970
25,Éleuthère Irénée du Pont,Éleuthère Irénée du Pont de Nemours,1771-06-24 00:00:00,31 October 1834
28,Édouard Herriot,,1872-07-05 00:00:00,26 March 1957
29,Édouard-Émery Richard,,1844-03-14 00:00:00,"March 27, 1904"
30,Élie de Rothschild,,1917-05-29 00:00:00,6 August 2007
32,Émile Noël,,1922-11-17 00:00:00,24 September 1996
37,Émile Durkheim,David Émile Durkheim,1858-04-15 00:00:00,15 November 1917
39,Émilie du Châtelet,,1706-12-17 00:00:00,10 September 1749
42,Émile Pelletier,,1898-02-11 00:00:00,15 December 1975
48,Étienne Geoffroy Saint-Hilaire,,15 April 1772,19 June 1844
54,Étienne Tshisekedi,Étienne Tshisekedi wa Mulumba,1932-12-14 00:00:00,1 February 2017
55,Évelyne Pisier,,1941-10-18 00:00:00,9 February 2017
58,Óscar Humberto Mejía Víctores,,1930-12-09 00:00:00,1 February 2016
59,Óscar Humberto Mejía Víctores,,1930-12-09 00:00:00,1 February 2016
60,Óscar Mendoza Azurdia,,1917-06-04 00:00:00,9 January 1995
61,Östen Elfving,,1874-05-25 00:00:00,25 July 1936
63,Hazel Guggenheim King-Farlow McKinley,Barbara Hazel Guggenheim,1903-04-30 00:00:00,"June 15, 1995"
67,Doc Ames,Albert Alonzo Ames,1842-01-18 00:00:00,", "
69,A.W. Dirlam,,1913-10-20 00:00:00,"June 3, 1995"
70,A. A. Gill,,1954-06-28 00:00:00,10 December 2016
71,Doc Ames,Albert Alonzo Ames,1842-01-18 00:00:00,", "
72,A. B. Dilworth,,"December 14, 1814","July 2, 1894"
74,A. Amirthalingam,,1927-08-26 00:00:00,13 July 1989
75,A. Andrew Hauk,Aloysius Andrew Hauk,1912-12-29 00:00:00,"November 9, 2004"
76,A. Bartlett Giamatti,Angelo Bartlett Giamatti,1938-04-04 00:00:00,"September 1, 1989"
78,A. C. Lyles,Andrew Craddock Lyles Jr.,1918-05-17 00:00:00,"September 27, 2013"
79,Addison Crandall,,"July 9, 1825","December 29, 1886"
81,Abel Carter Wilder,,1828-03-18 00:00:00,"December 22, 1875"
82,A. F. M. Ahsanuddin Chowdhury,,1915-07-01 00:00:00,30 August 2001
83,Dr. Anderson Doniphan Rice,,1818-02-02 00:00:00,"October 10, 1869"
84,A. F. Maciejewski,,1893-01-03 00:00:00,"September 25, 1949"
86,A. Devitt Vanech,Augustus Devitt Vanech,1906-03-26 00:00:00,"September 10, 1967"
87,A. G. Lancione,,1907-02-12 00:00:00,"November 5, 1989"
88,A. F. Summer,Albioun Fernando Summer,1921-11-02 00:00:00,"November 19, 1981"
89,Arthur Harry Moore,,"July 3, 1877","November 18, 1952"
90,A. Hyatt Smith,Abraham Hyatt Smith,1814-02-05 00:00:00,"October 16, 1892"
91,Aaron Homer Byington,,1826-07-26 00:00:00,"December 29, 1910"
92,A. J. McNamara,Abel John McNamara,1936-06-09 00:00:00,"December 2, 2014"
93,A. James Manchin,Antonio James Manchin,1927-04-07 00:00:00,"November 3, 2003"
96,A. J. Mundella,,1825-03-28 00:00:00,21 July 1897
97,A. Jeff McLemore,,"March 13, 1857","March 4, 1929"
99,Allah Bukhsh Karim Bukhsh Brohi,,1915,September 1987 at age 72
100,A. Joseph DeNucci,,1939-08-30 00:00:00,"September 8, 2017"
103,A. L. Strand,,1894-02-12 00:00:00,"April 27, 1980"
104,A. L. (Slim) Rasmussen,Albert Lawrence Rasmussen,1909-10-10 00:00:00,"January 6, 1993"
105,A. Leroy Greason,,1922-09-13 00:00:00,"August 28, 2011"
107,A. Leon Higginbotham Jr.,,1928-02-25 00:00:00,"December 14, 1998"
108,A. Mitchell Palmer,Alexander Mitchell Palmer,1872-05-04 00:00:00,"May 11, 1936"
109,Archie Lee Chandler,,"December 16, 1922","July 18, 2012"
110,Linwood Holton,Abner Linwood Holton Jr.,1923-09-21 00:00:00,"October 28, 2021"
111,A. Pratt Kessler,,1905-04-26 00:00:00,"October 13, 1984"
112,A. P. Lutali,Aifili Paulo Lutali,1919-12-24 00:00:00,"August 1, 2002"
113,A. P. Jayasuriya,Alexander Perera Jayasuriya,1901-11-01 00:00:00,28 August 1980
114,Abram Piatt Andrew Jr.,,1873-02-12 00:00:00,"June 3, 1936"
115,A. P. J. Abdul Kalam,Avul Pakir Jainulabdeen Abdul Kalam,1931-10-15 00:00:00,27 July 2015
118,A. R. McCabe,,1896-06-01 00:00:00,"May 24, 1985"
119,Almon Rouse Meek,,1834,"June 30, 1888"
120,A. Richard Caputo,,1938-05-22 00:00:00,"March 11, 2020"
121,A. Ronald Button,,"August 29, 1903","January 31, 1987 (aged 83)"
123,A. S. J. Carnahan,Albert Sidney Johnson Carnahan,1897-01-09 00:00:00,"March 24, 1968"
124,A. Victor Donahey,Alvin Victor Donahey,1873-07-07 00:00:00,"April 8, 1946"
125,Vic Thomas,Alfred Victor Thomas,1929-11-09 00:00:00,"April 26, 2006"
127,Vernon Weaver,Arthur Vernon Weaver Jr.,1922-04-16 00:00:00,", "
128,A. U. Fuimaono,Asuemu Ulufale Fuimaono,1924-01-24 00:00:00,"September 9, 2008"
129,A. U. Wyman,Albert U. Wyman,1833,1915 (c. aged 82)
130,The Earl Alexander of Hillsborough,,1885-05-01 00:00:00,11 January 1965
131,A. W. Norblad,Albin Walter Youngsberg,1881-03-19 00:00:00,"April 17, 1960"
132,A. W. Tiffany,,1827-07-08 00:00:00,"February 17, 1903"
133,A. Walter Norblad,Albin Walter Norblad Jr.,1908-09-12 00:00:00,"September 20, 1964"
137,A. K. M. Nurul Islam,এ কে এম নূরুল ইসলাম,1919-08-01 00:00:00,15 November 2015
139,Aad J. Vinje,Aad John Vinje,1857-11-10 00:00:00,"March 23, 1929"
140,Absalom Willis Robertson,,1887-05-27 00:00:00,"November 1, 1971"
141,Aaron Augustus Sargent,,1827-09-28 00:00:00,"August 14, 1887"
